,Unnamed: 0,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
13,390229,광주 동구,서석동,2017040114,,,광주 동구 서남로 1
37,390253,광주 동구,서석동,2017040214,53,19,광주 동구 서남로 1
61,390277,광주 동구,서석동,2017040314,61,38,광주 동구 서남로 1
85,390301,광주 동구,서석동,2017040414,65,36,광주 동구 서남로 1
109,390325,광주 동구,서석동,2017040514,30,5,광주 동구 서남로 1
133,390349,광주 동구,서석동,2017040614,19,15,광주 동구 서남로 1
157,390373,광주 동구,서석동,2017040714,32,16,광주 동구 서남로 1
181,390397,광주 동구,서석동,2017040814,40,26,광주 동구 서남로 1
205,390421,광주 동구,서석동,2017040914,61,34,광주 동구 서남로 1
229,390445,광주 동구,서석동,2017041014,17,7,광주 동구 서남로 1
253,390469,광주 동구,서석동,2017041114,17,4,광주 동구 서남로 1
277,390493,광주 동구,서석동,2017041214,120,3,광주 동구 서남로 1
301,390517,광주 동구,서석동,2017041314,84,25,광주 동구 서남로 1
325,390541,광주 동구,서석동,2017041414,56,2,광주 동구 서남로 1
349,390565,광주 동구,서석동,2017041514,25,10,광주 동구 서남로 1
373,390589,광주 동구,서석동,2017041614,46,15,광주 동구 서남로 1
397,390613,광주 동구,서석동,2017041714,3,1,광주 동구 서남로 1
421,390637,광주 동구,서석동,2017041814,116,39,광주 동구 서남로 1
445,390661,광주 동구,서석동,2017041914,161,13,광주 동구 서남로 1
469,390685,광주 동구,서석동,2017042014,75,15,광주 동구 서남로 1
493,390709,광주 동구,서석동,2017042114,96,11,광주 동구 서남로 1
517,390733,광주 동구,서석동,2017042214,94,18,광주 동구 서남로 1
541,390757,광주 동구,서석동,2017042314,61,20,광주 동구 서남로 1
565,390781,광주 동구,서석동,2017042414,40,5,광주 동구 서남로 1
589,390805,광주 동구,서석동,2017042514,40,7,광주 동구 서남로 1
613,390829,광주 동구,서석동,2017042614,36,13,광주 동구 서남로 1
637,390853,광주 동구,서석동,2017042714,50,5,광주 동구 서남로 1
661,390877,광주 동구,서석동,2017042814,50,9,광주 동구 서남로 1
685,390901,광주 동구,서석동,2017042914,44,10,광주 동구 서남로 1
709,390925,광주 동구,서석동,2017043014,93,38,광주 동구 서남로 1
733,390949,광주 동구,서석동,2017050114,99,51,광주 동구 서남로 1
757,390973,광주 동구,서석동,2017050214,51,5,광주 동구 서남로 1
781,390997,광주 동구,서석동,2017050314,50,15,광주 동구 서남로 1
805,391021,광주 동구,서석동,2017050414,56,17,광주 동구 서남로 1
829,391045,광주 동구,서석동,2017050514,8,1,광주 동구 서남로 1
853,391069,광주 동구,서석동,2017050614,116,4,광주 동구 서남로 1
877,391093,광주 동구,서석동,2017050714,289,53,광주 동구 서남로 1
901,391117,광주 동구,서석동,2017050814,288,78,광주 동구 서남로 1
925,391141,광주 동구,서석동,2017050914,7,3,광주 동구 서남로 1
949,391165,광주 동구,서석동,2017051014,50,21,광주 동구 서남로 1
973,391189,광주 동구,서석동,2017051114,85,44,광주 동구 서남로 1
997,391213,광주 동구,서석동,2017051214,15,4,광주 동구 서남로 1
1021,391237,광주 동구,서석동,2017051314,43,20,광주 동구 서남로 1
1045,391261,광주 동구,서석동,2017051414,75,9,광주 동구 서남로 1
1069,391285,광주 동구,서석동,2017051514,38,1,광주 동구 서남로 1
1093,391309,광주 동구,서석동,2017051614,23,4,광주 동구 서남로 1
1117,391333,광주 동구,서석동,2017051714,29,7,광주 동구 서남로 1
1141,391357,광주 동구,서석동,2017051814,47,14,광주 동구 서남로 1
1165,391381,광주 동구,서석동,2017051914,45,20,광주 동구 서남로 1
1189,391405,광주 동구,서석동,2017052014,30,8,광주 동구 서남로 1
1213,391429,광주 동구,서석동,2017052114,27,11,광주 동구 서남로 1
1237,391453,광주 동구,서석동,2017052214,25,10,광주 동구 서남로 1
1261,391477,광주 동구,서석동,2017052314,19,6,광주 동구 서남로 1
1285,391501,광주 동구,서석동,2017052414,17,7,광주 동구 서남로 1
1309,391525,광주 동구,서석동,2017052514,32,10,광주 동구 서남로 1
1333,391549,광주 동구,서석동,2017052614,23,3,광주 동구 서남로 1
1357,391573,광주 동구,서석동,2017052714,19,1,광주 동구 서남로 1
1381,391597,광주 동구,서석동,2017052814,44,6,광주 동구 서남로 1
1405,391621,광주 동구,서석동,2017052914,57,21,광주 동구 서남로 1
1429,391645,광주 동구,서석동,2017053014,73,35,광주 동구 서남로 1
1453,391669,광주 동구,서석동,2017053114,13,6,광주 동구 서남로 1
1477,391693,광주 동구,서석동,2017060114,52,29,광주 동구 서남로 1
1501,391717,광주 동구,서석동,2017060214,40,10,광주 동구 서남로 1
1525,391741,광주 동구,서석동,2017060314,19,2,광주 동구 서남로 1
1549,391765,광주 동구,서석동,2017060414,14,2,광주 동구 서남로 1
1573,391789,광주 동구,서석동,2017060514,14,2,광주 동구 서남로 1
1597,391813,광주 동구,서석동,2017060614,21,4,광주 동구 서남로 1
1621,391837,광주 동구,서석동,2017060714,19,6,광주 동구 서남로 1
1645,391861,광주 동구,서석동,2017060814,36,26,광주 동구 서남로 1
1669,391885,광주 동구,서석동,2017060914,68,45,광주 동구 서남로 1
1693,391909,광주 동구,서석동,2017061014,43,35,광주 동구 서남로 1
1717,391933,광주 동구,서석동,2017061114,44,30,광주 동구 서남로 1
1741,391957,광주 동구,서석동,2017061214,21,1,광주 동구 서남로 1
1765,391981,광주 동구,서석동,2017061314,31,13,광주 동구 서남로 1
1789,392005,광주 동구,서석동,2017061414,31,14,광주 동구 서남로 1
1813,392029,광주 동구,서석동,2017061514,48,21,광주 동구 서남로 1
1837,392053,광주 동구,서석동,2017061614,66,39,광주 동구 서남로 1
1861,392077,광주 동구,서석동,2017061714,47,19,광주 동구 서남로 1
1885,392101,광주 동구,서석동,2017061814,27,16,광주 동구 서남로 1
1909,392125,광주 동구,서석동,2017061914,43,23,광주 동구 서남로 1
1933,392149,광주 동구,서석동,2017062014,38,25,광주 동구 서남로 1
1957,392173,광주 동구,서석동,2017062114,29,23,광주 동구 서남로 1
1981,392197,광주 동구,서석동,2017062214,20,12,광주 동구 서남로 1
2005,392221,광주 동구,서석동,2017062314,44,24,광주 동구 서남로 1
2029,392245,광주 동구,서석동,2017062414,25,13,광주 동구 서남로 1
2053,392269,광주 동구,서석동,2017062514,34,24,광주 동구 서남로 1
2077,392293,광주 동구,서석동,2017062614,48,38,광주 동구 서남로 1
2101,392317,광주 동구,서석동,2017062714,33,24,광주 동구 서남로 1
2125,392341,광주 동구,서석동,2017062814,27,19,광주 동구 서남로 1
2149,392365,광주 동구,서석동,2017062914,41,30,광주 동구 서남로 1
2173,392389,광주 동구,서석동,2017063014,7,4,광주 동구 서남로 1
